url,product,category,subcategory,brand,volume,weight,details
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carbonell-750-ml/,Aceite De Oliva Virgen Extra Ecológico Carbonell 750 Ml.,aceite_oliva,virgen extra ecológico,carbonell,0.75,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-1-l/,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 1 L.,aceite_oliva,virgen extra ecológico,carrefour bio,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-3-l/,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 3 L.,aceite_oliva,virgen extra ecológico,carrefour bio,3.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-500-ml/,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio 500 Ml.,aceite_oliva,virgen extra ecológico,carrefour bio,0.5,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-carrefour-bio-hojiblanca-500-ml/,Aceite De Oliva Virgen Extra Ecológico Carrefour Bio Hojiblanca 500 Ml.,aceite_oliva,virgen extra,carrefour bio,0.5,,ecológico hojiblanca
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-coosur-1-l/,Aceite De Oliva Virgen Extra Ecológico Coosur 1 L.,aceite_oliva,virgen extra ecológico,coosur,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-dcoop-1-l/,Aceite De Oliva Virgen Extra Ecológico Dcoop 1 L.,aceite_oliva,virgen extra ecológico,dcoop,1.0,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-maestros-de-hojiblanca-75-cl/,Aceite De Oliva Virgen Extra Ecológico Maestros De Hojiblanca 75 Cl.,aceite_oliva,virgen extra ecológico,maestros de hojiblanca,0.75,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-ecologico-oro-de-genave-75-cl/,Aceite De Oliva Virgen Extra Ecológico Oro De Génave 75 Cl.,aceite_oliva,virgen extra ecológico,oro de génave,0.75,,
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-gran-seleccion-carbonell-750-ml/,Aceite De Oliva Virgen Extra Gran Selección Carbonell 750 Ml.,aceite_oliva,virgen extra,carbonell,0.75,,gran selección
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-hojiblanca-carbonell-1-l/,Aceite De Oliva Virgen Extra Hojiblanca Carbonell 1 L.,aceite_oliva,virgen extra,carbonell,1.0,,hojiblanca
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-hojiblanca-carrefour-1-l/,Aceite De Oliva Virgen Extra Hojiblanca Carrefour 1 L.,aceite_oliva,virgen extra,carrefour,1.0,,hojiblanca
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-hojiblanca-coosur-1-l/,Aceite De Oliva Virgen Extra Hojiblanca Coosur 1 L.,aceite_oliva,virgen extra,coosur,1.0,,hojiblanca
https://super.facua.org/carrefour/aceite-de-oliva/aceite-de-oliva-virgen-extra-hojiblanca-dcoop-1-l/,Aceite De Oliva Virgen Extra Hojiblanca Dcoop 1 L.,aceite_oliva,virgen extra,dcoop,1.0,,hojiblanca
